Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2614","Citrus, Other","2016","2016","1000 tonnes","238","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2614","Citrus, Other","2017","2017","1000 tonnes","180","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2615","Bananas","2014","2014","1000 tonnes","7017","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2615","Bananas","2015","2015","1000 tonnes","7212","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2615","Bananas","2016","2016","1000 tonnes","7667","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2615","Bananas","2017","2017","1000 tonnes","8262","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2616","Plantains","2014","2014","1000 tonnes","214","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2616","Plantains","2015","2015","1000 tonnes","303","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2616","Plantains","2016","2016","1000 tonnes","314","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2616","Plantains","2017","2017","1000 tonnes","320","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2617","Apples and products","2014","2014","1000 tonnes","16068","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2617","Apples and products","2015","2015","1000 tonnes","15621","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2617","Apples and products","2016","2016","1000 tonnes","15665","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2617","Apples and products","2017","2017","1000 tonnes","13465","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2618","Pineapples and products","2014","2014","1000 tonnes","1678","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2618","Pineapples and products","2015","2015","1000 tonnes","1440","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2618","Pineapples and products","2016","2016","1000 tonnes","1418","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2618","Pineapples and products","2017","2017","1000 tonnes","1553","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2619","Dates","2014","2014","1000 tonnes","121","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2619","Dates","2015","2015","1000 tonnes","126","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2619","Dates","2016","2016","1000 tonnes","137","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2619","Dates","2017","2017","1000 tonnes","156","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2620","Grapes and products (excl wine)","2014","2014","1000 tonnes","28498","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2620","Grapes and products (excl wine)","2015","2015","1000 tonnes","29396","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2620","Grapes and products (excl wine)","2016","2016","1000 tonnes","29233","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2620","Grapes and products (excl wine)","2017","2017","1000 tonnes","26769","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2625","Fruits, Other","2014","2014","1000 tonnes","18741","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2625","Fruits, Other","2015","2015","1000 tonnes","19246","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2625","Fruits, Other","2016","2016","1000 tonnes","19546","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2625","Fruits, Other","2017","2017","1000 tonnes","19600","A","Aggregate, may include official, semi-official, estimated or calculated data"
