Song,Singer,Lyrics
Radin Ligado,João Neto e Frederico,Tô cansado de ouvir que eu Tô acabando com a minha vida Que ela já tá de rolo novo Quase apresentando pra família  Vai amar pra você saber Vai largar pra você sofrer Paga uma caixa pra eu beber Depois eu falo com você  Deixa eu com meu radin ligado Respeita o meu estado O volume tá no 4 E a sofrência tá no talo Tô curando machucado com álcool  Deixa eu com meu radin ligado Respeita o meu estado Coração tá apanhando E os modão só tá tocando Os auto falante rachando Pra ninguém ouvir que meu peito tá chorando  ai ai ai ai ai ai ai ai ai ai  Os modão só tá tocando Pra ninguém ouvir que meu peito tá chorando
Libera Ela,Raffa Torres,"Ei, brother 'Cê' vai enrolar ela até quando? Tem sorte Que ela não viu que só ela que 'tá' amando Só te falo que tem gente aí sozinho, que daria tudo pra ter isso tudo Você tem o que todo mundo quer Mas quer todo mundo Se você sempre tem e não quer ficar junto  Libera ela 'Cê' tá roubando tempo 'Cê' tá ocupando o espaço do amor da vida dela Libera ela Tá atrasando os planos Do casório, do cachorro, do neném com a cara dela Libera ela Libera ela"
My Only One,Sebastian Yatra,"I remember when I met you I didn't want to fall I felt my hands were shaking 'Cause you looked so beautiful  I remember when you kissed me I knew you were the one And oh my hands were shaking When you played my favorite song  I don't know why But every time I look into your eyes I see a thousand falling shooting stars And yes I love you I can't believe that every night you're by my side  Promise I'll stay here 'till the morning And pick you up when you're falling When the rain gets rough When you've had enough I'll just sweep you off your feet and fix you with my love My only one My only one  Tell me how you do it I can barely breathe with the smile you get You get the best of me And all I really want is to give you all of me Tell me how you do it How you bring me back You bring me back to life then make my heartbeat stop I can't take it  I don't know why But every time I look into your eyes I see a thousand falling shooting stars And yes I love you I can't believe that every night you're by my side  Voy a cuidarte por las noches Voy a amarte sin reproches Te voy a extrañar en la tempestad Y aunque existan mil razones para renunciar Promise I'll stay here 'till the morning And pick you up when you're falling When the rain gets rough, when you've had enough I'll just sweep you off your feet and fix you with my love My only one, there's no one else My only one, there's no one else You are my only one It's just there's no one else, ouh, uoh My only one My only"
Amor de Que (Áudio Oficial),Pabllo Vittar,"O que os olhos não veem o coração não sente Eu tenho um jeito de amar bem diferente O que você não vê, é que as outras mentem Eu tô dizendo a verdade na tua frente  Veja bem, não é maldade É que tem tanto homem bonito na cidade E eu tô na flor da idade Melhor se arrepender do que passar vontade  Eu espero que você me entenda Que o meu amor É amor de quenga  Eu não quero que você se prenda No meu amor Amor de quenga  Eu sento Tu sente Eu sento Tu sente Eu sento Tu sente Assim é a gente  Eu sento Tu sente Eu sento Tu sente Eu sento Tu sente Assim é a gente"
Meu mel,Anitta,"Meu mel, Lembra aquele quarto de hotel Você era Dali e eu pincel Pronta para te levar pro céu Doido pra provar  O que eu sempre quis Te fazer feliz Como você faz pra mim  O sabor que trouxe Levemente doce Com um toque de jasmim  Amor verdadeiro Melhor que brigadeiro Tem poesia no seu cheiro  Se jardineiro eu fosse Eu regaria dia e noite o nosso jardim  Quer provar meu mel pra adoçar a sua boca Quer provar meu mel e vai melar a boca toda  Que provar meu mel pra adoçar a sua boca Quer provar meu mel, então eu vou te dar  Meu mel, Lembra aquele quarto de hotel Você era Dali e eu pincel Pronta para te levar pro céu Doido pra provar  Meu mel, mel, mel  Cê ta doida, louca pra provar meu mel Doido, louco pra provar meu mel Doida, louca pra provar meu mel Doido, louco pra poder provar meu mel"
Onze e Pouquinho,Dilsinho,"Eu achei que eu tinha Maturidade pra isso Eu não tenho, nenhuma Onze e pouquinho Te pego na sua casa Eu já to indo, se arruma  Nós dois suados na cama conversando sobre a vida Sem falar de amor e beijo no rosto na despedida  Agimos com a maior frieza do mundo Achei até que eu tava entendendo errado Traí nosso combinado  Era pra ser só mais um rolé de boa Mas quando rola a química a noite voa Não tava nos planos outro convidado Mas o meu coração entrou sem ser chamado"
Chama Ela,Lexa,"Desse jeitinho hein  Pedro Sampaio no beat, ela vem  Alô, Pedro tô chegando  Vamo ver no que vai dar Tô na pista, vou ferver Tô querendo provocar Hoje eu vou fazer história E a intenção é não parar, não parar  É É  Mostra habilidade que essa cintura tem Mexendo, mexendo Chama ela que ela vem  Mostra habilidade que essa cintura tem Mexendo, mexendo Chama ela que ela vem  Chama ela que ela vem"
Verdinha,Ludmilla,"Eu fiz um pé lá no meu quintal Tô vendendo a grama da verdinha a um real Eu fiz um pé lá no meu quintal Tô vendendo a grama da verdinha a um real  Minha mãe já perguntou O meu pai já perguntou A minha vó já perguntou Que planta é essa, meu amor?  Minha mãe já perguntou O meu pai já perguntou A minha vó já perguntou Que plantinha é essa, meu amor?  Sou porra louca Mas também sou dedicada Em casa não falta nada Trabalho pra estudar Eu tenho alma de pipa avoada Minha vizinha fala, fala, e não consegue acompanhar Um dia eu vou poder falar toda verdade A máscara que vai cair diante da sociedade Bang, bang Não me perturba Vou tacar fogo em mais um Só pra não ficar maluca  Eu fiz um pé lá no meu quintal Tô vendendo a grama da verdinha a um real Eu fiz um pé lá no meu quintal Tô vendendo a grama da verdinha a um real  Fiquei loucona Chapadona Só com a marola Da Ruama  Fiquei loucona Chapadona Só com a marola Da Ruama"
Gelo,Melim,"Não sou de me apaixonar de primeira Quando eu me derreti você me pôs na geladeira, poxa  Você me deu um gelo E ficou tudo gelado gelado E nesse dia frio Quem é que tá do seu lado seu lado Eu eu eu  Eu sei que não tá tudo bem meu bem Nada bem Se você tá bem tem cem Se você tá mal não tem ninguém Não tem ninguém  Ficar distante de quem ama é bobagem Orgulho não combina com felicidade O amor é pra quem tem coragem  Sei que quando eu tô fora Cê perde seu sono E fica carente, tipo dog sem dono Chuveiro quentin, você e eu coladin Ai sim, da água na boca Veste moletom e toca Me abraça e tira roupa Seu pé esquenta o meu A temperatura subiu Era pra você somar Mas você sumiu  Você me deu um gelo E ficou tudo gelado gelado E nesse dia frio Quem é que tá do seu lado seu lado Eu eu eu  Não me deixa lá fora Eu sinto abandono E fico carente tipo dog sem dono Chuveiro quentin, você e eu coladinho Ai sim, da água na boca Veste moletom e toca Me abraça e tira roupa  Seu pé esquenta o meu Ah temperatura subiu Era pra somar mas Você sumiu  Você me deu um gelo E ficou tudo gelado gelado E nesse dia frio Quem é que ta do seu lado se lado Eu eu eu  Você me deu um gelo E ficou tudo gelado gelado E nesse dia frio Quem é que ta do seu lado se lado Eu eu eu  Congelou tudo parou parou Congelou tudo parou parou Congelou tudo parou parou  Por você eu derreti de amor  Congelou tudo parou parou Congelou tudo parou parou Congelou tudo parou parou"
"Quem Me Viu, Quem Me Vê",Edson e Hudson,"Eu moro aqui na cidade Mas cresci no mato bem longe dos homens Não tenho medo de nada Nem de cabra macho nem de lobisomem Já enfrentei onça pintada E até com gorila já sai na mão O que me deixa frustrado É não ter topado o tal do lampião  Mas quem me viu, quem me vê  Eu que nunca tive medo de nada Quando a mulher pegou meu celular Eu comecei tremer, eu comecei suar Eu que nunca tive medo de nada Meu celular na mão dela ali Foi o pior fantasma que eu já vi"
Não Planeje Nada,Marcos e Belutti,"A gente sai com guarda-chuva e não chove A gente sai de moletom e não faz frio Combina de ver Vingadores com a turma E acaba indo pro cinema sozinho  Senta lá na fila ""Z"", cadeira 5 De repente um desconhecido, na 4 Sem calcular, sem ter nada planejado O amor da nossa vida tá do nosso lado  O amor é um acidente Os corações colidindo frente a frente É um cupido feito um doido dando flechada É na cadeira do cinema pro sofá da nossa casa   Não planejei nada"
Rapariga Digital,Naiara Azevedo,"Solta meu braço A vida é minha o que quiser fazer eu faço Abaixa o tom de voz que não sou surda, não Nem perde o seu tempo dando explicação  Logo você bebê, o Rei da esperteza Deixou o celular desbloqueado na minha mesa Eu e você já era Quer conhecer uma pessoa pega o celular dela  Essas piriguetes de internet Rapariga digital Nunca vão superar uma mulher real  Essas piriguetes de internet Que todo mundo mordeu Quer trair, cê trai com uma mais bonita do que eu"
Invocada,Ludmilla,"Eu te amava, não posso negar também sofria, não posso mentir Agora sou eu que não te quero mais aqui Aprendi a viver sem você, superei a emoção que eu tinha Agora tô livre e solteira na pista Se conforma, eu não vou voltar, agora tu vai ver o que é sofrer Vou te ensinar como se bota pra fuder Desço empinando a bunda, subo com a mão no cabelo Quebro, de ladinho quebro, na boquinha eu levo o dedo Desço empinando a bunda, subo com a mão no cabelo Quebro, de ladinho quebro, na boquinha eu levo o dedo Se eu me invocar Desço empinando a bunda, subo com a mão no cabelo Quebro, de ladinho quebro, na boquinha eu levo o dedo Desço empinando a bunda, subo com a mão no cabelo Quebro, de ladinho quebro, na boquinha eu levo o dedo Você me ama, não dá pra negar e tá sofrendo, não dá pra mentir Para de ser boba que eu te quero bem aqui Eu não posso viver sem você Você também não fica sozinha Encontro marcado, a gente se esbarra na pista Diz que vai, mas só pensa em voltar Sabe que a gente tem tudo a ver Quando bate o grave a gente bota pra ferver Desço empinando a bunda, subo com a mão no cabelo Quebro, de ladinho quebro, na boquinha eu levo o dedo Desço empinando a bunda, subo com a mão no cabelo Quebro, de ladinho quebro, na boquinha eu levo o dedo Se eu me invocar Desço empinando a bunda, subo com a mão no cabelo Quebro, de ladinho quebro, na boquinha eu levo o dedo Desço empinando a bunda, subo com a mão no cabelo Quebro, de ladinho quebro, na boquinha eu levo o dedo"
