API_NY.GDP.PCAP.PP.KD_DS2_en_csv_v2_992688
Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Antigua and Barbuda,ATG,17454.5497991277,17598.3784010151,17497.3801269887,18055.5009558661,18851.9378219001,17645.1737689359,18407.7105533966,19000.2818784894,19486.1718917018,19816.2914409884,20769.0958619823,19434.4075068745,19361.8598546183,20274.5382519488,21161.1235315004,22205.9891867516,24657.4651453771,26516.7409537933,26083.1677616184,22568.6265297858,20555.4142048045,19876.2153228796,20283.8975341342,19918.131682288,20440.5405551225,20994.7258901414,21923.7960368902,22400.3795618565,23840.7298964163
Australia,AUS,28669.0594737612,28193.5286508523,27968.4018842421,28812.1003756597,29644.1460195852,30411.7055867052,31178.9221640888,32055.0119923067,33174.5070965308,34461.6599833889,35392.5691234561,35592.7896139099,36567.9214988415,37197.9525380117,38260.38099525,38968.5926095176,39470.9989595509,40733.1388010281,41385.3831705075,41326.3919298816,41529.7594995566,41965.3584189919,42854.8907793467,43212.4471035512,43651.1031328493,43970.8037036566,44488.7408277738,44781.3227596879,45377.755143006
Austria,AUT,31341.902892864,32098.492081453,32411.8030013195,32314.9714107323,32964.1021593637,33791.8020278433,34539.0857422736,35222.2605371189,36443.7086340099,37666.4113349601,38844.404487845,39186.3358923689,39638.0275113266,39816.7738198532,40652.8110668432,41282.879764265,42498.0074198338,43939.4254382743,44441.7880173077,42656.8546897355,43336.1980012617,44452.7327457999,44551.6181062599,44301.1048287695,44246.8932711527,44197.5402025482,44632.7261036249,45421.4253996812,46260.3823826199
Azerbaijan,AZE,8789.71453035858,8593.74050936535,6551.53853942429,4962.17466976829,3931.12722768232,3427.5511190645,3437.22268499833,3601.66911871186,3924.41066545063,4177.98969346228,4603.76986083564,5020.4949277868,5453.5302441996,5964.8783790501,6460.05502508542,8182.31181443141,10882.2346703891,13499.2683468612,14618.8154247387,15660.0023600548,16215.8471997646,15754.1523626148,15888.6748721826,16600.8799688925,16853.5684691467,16828.9901596414,16131.9721279442,15929.3996305909,16010.989036316
Burundi,BDI,1027.39665998435,1054.31550934577,1042.36716865702,958.362409348118,905.890282550731,821.872598059189,747.006062825455,727.681594145987,754.429747911998,737.090825634833,717.973021535117,716.263594456508,728.185979798559,697.929245628168,708.83372030714,692.569818912491,706.746700906096,707.48869579253,717.792711796647,721.063140329375,733.727722815265,739.219254973908,748.075520582737,760.699069642062,768.469836927654,715.54988614254,689.014891669999,670.777072479443,660.330341024828
Belgium,BEL,30188.7951481243,30628.154337697,30971.0566643737,30553.5669781062,31442.4676190327,32124.9421632518,32485.9290211133,33636.832824027,34223.579038195,35354.9069829311,36580.1137148437,36855.3718243493,37316.7970845537,37546.6127316428,38719.5379433358,39401.1783406808,40141.2061493839,41312.6771475,41170.7826385585,40015.5701527226,40787.3732159277,40942.372710454,40990.0358237848,40984.6405257382,41447.1873814025,42045.3836218243,42465.1875100572,43132.8055365392,43582.1283959571
Benin,BEN,1462.67742107927,1473.86252559355,1465.57057864765,1497.74263989156,1476.5393429105,1515.06774041106,1531.64280725026,1571.16906095909,1585.78506587644,1621.90086797704,1666.46746353098,1703.01513026645,1728.69687889668,1734.69529970284,1757.90297863214,1735.97415014991,1752.95752640256,1805.6221411138,1841.18738797947,1831.88141769026,1818.77846075906,1820.8893040888,1855.93633148333,1934.62261495887,2001.05200039071,1987.14191963108,2009.66101931751,2069.28528048612,2151.54316951218
Burkina Faso,BFA,844.342167576777,896.598477820563,874.806444566451,880.89149248784,868.463532306393,893.240680831447,964.586920602274,997.364751381498,1040.667437642,1086.61619839277,1075.39533703334,1114.20225286606,1129.74053824911,1183.09487974235,1200.41706167989,1266.36153727954,1305.92497128283,1338.83837475586,1393.69708816373,1392.20028555341,1423.37770598198,1472.71584137964,1521.45154039989,1562.29994921861,1582.33009760085,1596.33458051647,1642.0391957597,1696.54691554494,1761.23475685076
Bangladesh,BGD,1325.59207064118,1340.2616595861,1382.0003726273,1416.07470469475,1440.01225246912,1481.79055101761,1516.16258120593,1551.13570721207,1597.89747759363,1639.03069871163,1692.42211846311,1745.12084442569,1779.33188760776,1831.67722085559,1896.76331082398,1990.95359726971,2095.36978287104,2215.92522146022,2322.42636234319,2412.50170153957,2518.43417760304,2650.72993332452,2791.17209838009,2924.99209929067,3067.03288410178,3231.69523717156,3424.01066014401,3634.31695409681,3879.16152410685
Bulgaria,BGR,9296.94200583915,8596.50399033212,8057.39454715674,8001.70074570231,8174.88625789851,8446.23926058442,8549.73832522372,8508.28792137145,9109.05998091288,8390.06511240394,8833.43687448384,9350.77579298186,10123.359412882,10729.9999945868,11507.0417772991,12419.9151254798,13374.9029906954,14463.1673919163,15442.1347998764,14984.5899413924,15283.2747066107,15676.1333354642,15772.0792812583,15938.9336151633,16324.3374794387,16999.1064013733,17792.678144811,18606.213924388,19320.7512338619
