,Objektart,MietpreisproMonat,Zimmer,Verfügbarab,rating,adress,publication_date,city,DateofScrapping,Wohnfläche,Geschoss,Kabel-TV,Rollstuhlgängig,Baujahr,Balkon(e),Einstellplatz,Aussenparkplatz,Cheminée,MietpreisproMonat(exkl.NK),Nebenkosten,Lift,ÖV-Haltestelle,Einkaufsmöglichkeit,Haustiereerlaubt,Autobahn,Kindergarten,Primarschule,Sekundarschule,Raumhöhe,Wohnungen,Bäder,Neubau,Still,Sonnig,Nutzfläche,Toiletten,Kinderfreundlich,Erstbezug,Minergie-zertifiziert,AltesGebäude,Geschirrspülmaschine,Wasseranschluss,Kubatur,Eckhaus,Veranda,Hochparterre,Hebebühne,Anfahrrampe,Holzofen,Grundstückfläche
23021483,Wohnung,1607,1.5,01.04.2020,NaN,"Rautistrasse 10A, 8047 Zürich ZH",26.02.2020,zuerich,26.02.2020,50,4.Stock,1,,,1,,1,,1447,160,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23021834,Wohnung,3800,4.5,01.04.2020,NaN,"Nägelihof 3, 8001 Zürich",26.02.2020,zuerich,26.02.2020,86,2.Stock,1,,,1,,,1,3300,500,,200m,500m,1,,,,,,,,,,,,,,,,,,,,,,,,,,
23020752,Wohnung,2185,4,nachVereinbarung,NaN,8032 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23019694,Wohnung,1000,1,sofort,NaN,8006 Zürich ZH,25.02.2020,zuerich,26.02.2020,17,2.Stock,,,,1,,,,900,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23020743,Wohnung,1250,1.5,nachVereinbarung,NaN,8057 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23020744,Wohnung,1750,2,sofort,4,"Im Wingert 15, 8049 Zürich ZH",26.02.2020,zuerich,26.02.2020,50,2.Stock,,,1974,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23019817,Wohnung,1000,1,01.06.2020,NaN,"Greifenseestrasse 49, 8050 Zürich ZH",26.02.2020,zuerich,26.02.2020,,EG,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23019820,Wohnung,900,1,01.04.2020,NaN,8004 Zürich ZH,26.02.2020,zuerich,26.02.2020,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23019405,Wohnung,1990,3.5,01.04.2020,NaN,"Bändlistrasse 17, 8064 Zürich ZH",25.02.2020,zuerich,26.02.2020,70,2.Stock,1,,,1,,,,1765,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23019270,Wohnung,2900,4.5,nachVereinbarung,NaN,8032 Zürich ZH,25.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23019468,Wohnung,1150,3,nachVereinbarung,NaN,8003 Zürich ZH,25.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23019401,Wohnung,1290,1,nachVereinbarung,NaN,8050 Zürich ZH,25.02.2020,zuerich,26.02.2020,100,1.Stock,1,1,2009,1,1,1,,1100,190,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23019818,Wohnung,1050,1,01.04.2020,NaN,8048 Zürich ZH,26.02.2020,zuerich,26.02.2020,87,4.Stock,1,,2018,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018911,Wohnung,1640,2.5,01.04.2020,5,"Neunbrunnenstrasse 138, 8050 Zürich ZH",25.02.2020,zuerich,26.02.2020,60,EG,1,1,2005,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018909,Wohnung,1800,1,01.05.2020,NaN,"Käferholzstrasse, 8057 Zürich ZH",25.02.2020,zuerich,26.02.2020,121,1.Stock,1,,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018906,Wohnung,1030,1,01.06.2020,NaN,"Tuchmacherstrasse 36, 8041 Zürich ZH",25.02.2020,zuerich,26.02.2020,106,7.Stock,,,,1,,,,915,115,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
23018907,Wohnung,1120,1,15.03.2020,NaN,"Mutschellenstrasse, 20, 8002 Zürich ZH",25.02.2020,zuerich,26.02.2020,,2.Stock,,,,1,,,,1000,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23019269,Wohnung,2680,3,01.04.2020,NaN,8005 Zürich ZH,25.02.2020,zuerich,26.02.2020,,EG,,,,1,,,,2480,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018910,Wohnung,1780,2.5,16.03.2020,NaN,"Vorhaldenstrasse 31, 8049 Zürich ZH",25.02.2020,zuerich,26.02.2020,70,1.Stock,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018908,Wohnung,1100,1,01.04.2020,NaN,"Englischviertelstrasse 56, 8032 Zürich ZH",25.02.2020,zuerich,26.02.2020,11,1.Stock,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018800,Wohnung,1100,4.5,nachVereinbarung,NaN,8057 Zürich ZH,25.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23018859,Wohnung,2132,3,01.05.2020,NaN,"Gasometerstrasse 3, 8005 Zürich",25.02.2020,zuerich,26.02.2020,62,1.Stock,,,,,,,,1847,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23019182,Wohnung,2358,4.5,01.04.2020,3,"Georg Kempf-Strasse 20, 8046 Zürich",25.02.2020,zuerich,26.02.2020,85,2.Stock,,,1969,,,,,2188,170,,300m,300m,,2000m,200m,600m,600m,,,,,,,,,,,,,,,,,,,,,,
23018616,Wohnung,3200,4.5,01.04.2020,NaN,"Asylstrasse 133, 8032 Zürich",25.02.2020,zuerich,26.02.2020,105,2.Stock,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
