,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Baujahr,Verfügbarab,Balkon(e),Einstellplatz,Lift,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,ÖV-Haltestelle,Autobahn,Kindergarten,Primarschule,Sekundarschule,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Aussenparkplatz,AltesGebäude,Nutzfläche,Hochparterre,Rollstuhlgängig,Neubau,Geschirrspülmaschine,Estrich,Cheminée,Toiletten,Minergie-zertifiziert,Kubatur,Raumhöhe,Mittelhaus,Wohnungen,Wasseranschluss,Swimmingpool,Möbliert,Grundstückfläche
23011678,Wohnung,2550,2300,250,115,4.5,2.Stock,,01.04.2020,1,1,1,1,,,200m,,1000m,1000m,3000m,800m,NaN,"Schädrütihalde 20, 6006 Luzern",24.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23012005,Wohnung,3900,,,131,4.5,7.Stock,,,1,1,1,,1,,50m,,500m,500m,500m,100m,NaN,"Waldstätterstrasse 23, 6003 Luzern",24.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23014551,Wohnung,1750,1550,200,63,3.5,4.Stock,,01.04.2020,1,,1,1,,,,1317m,,103m,,246m,NaN,"Maihofstrasse 31, 6006 Luzern",24.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23014550,Wohnung,1720,,,75,2.5,5.Stock,2019,,,,1,,,,,,,,,,6,"Wesemlinstrasse 2, 6006 Luzern",24.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
23012254,Wohnung,1530,,,63,3.5,,,01.05.2020,,,,,,,,,,,,,NaN,"Lädelistrasse, 30, 6003 Luzern",24.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23011614,Wohnung,1750,1550,200,63,3.5,,,01.04.2020,1,,1,,,,,1000m,,103m,,246m,NaN,"Maihofstrasse 31, 6006 Luzern",24.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23007230,Maisonette,1490,,,86,3.5,,,nachVereinbarung,,,,,,,,,,,,,NaN,"Kreuzbuchstrasse 99, 6006 Luzern",23.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23008676,Wohnung,990,870,120,45,1,1.Stock,1970,01.04.2020,1,,1,1,,,,,,,,,5,"Schönbühlring 15, 6005 Luzern LU",24.02.2020,luzern,26.02.2020,,,,,1,,,,,,,,,,,,,,
23009098,Wohnung,1900,,,,3,,,nachVereinbarung,,,,,,,,,,,,,NaN,6003 Luzern LU,24.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23009100,Wohnung,1650,1530,120,65,3.5,,,01.05.2020,1,,,,,,,,,,,,NaN,"Sonnenbergstrasse 23, 6005 Luzern LU",24.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23028314,Wohnung,1728,1578,150,59,2.5,4.Stock,,nachVereinbarung,,1,1,1,1,,,,,,,,NaN,"Hallwilerweg 2, 6003 Luzern",24.02.2020,luzern,26.02.2020,1,,,,,1,,1,,,,,,,,,,,
23009329,Wohnung,2517,,,,4,,,nachVereinbarung,,,,,,,,,,,,,NaN,6003 Luzern LU,24.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23007135,Wohnung,2550,,,,4.5,,,01.04.2020,,,,,,,,,,,,,NaN,"Schädrütihalde 20, 6006 Luzern",23.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23008837,Wohnung,1900,,,,4.5,,,nachVereinbarung,,,,,,,,,,,,,NaN,6003 Luzern LU,24.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23023552,Wohnung,1900,,,80,3,6.Stock,,11.04.2020,1,,,,,,,,,,,,NaN,"Bireggstrasse, 6003 Luzern",24.02.2020,luzern,26.02.2020,,1,,,,,,,,,,,,,,,,,
23009101,Wohnung,2560,,,106,3.5,1.Stock,,nachVereinbarung,1,,1,,,,,,,,,,NaN,"Oberseeburg 20, 6006 Luzern LU",22.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
23001093,Einzelzimmer,650,550,100,,1,2.Stock,,,,,,,,,,,,,,,NaN,"Luzernerstrasse 36, 6014 Luzern",22.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22999798,Wohnung,1550,1350,200,,3.5,2.Stock,,sofort,1,,,1,1,,,,,,,,NaN,"Baselstrasse 97, 6003 Luzern",21.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22999531,Wohnung,1918,1698,220,92,4.5,3.Stock,1974,01.05.2020,1,,1,1,,1,100m,,500m,2000m,2000m,2000m,5,"Büttenenstrasse 16, 6006 Luzern",21.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23007808,Wohnung,900,820,80,24,1,2.Stock,1930,01.04.2020,,,1,,1,,,,,,,,4,"Mühlemattstr. 9, 6004 Luzern",22.02.2020,luzern,26.02.2020,1,,,,,,,,1,,,,,,,,,,
23001084,Einzelzimmer,700,600,100,,1,3.Stock,,,,,,,,,,,,,,,NaN,"Baselstrasse 28, 6003 Luzern",22.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23001085,Einzelzimmer,850,750,100,,1,1.Stock,,sofort,,,,,,1,,,,,,,NaN,"Bernerweg 12, 6003 Luzern",22.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22999532,Wohnung,1390,1210,180,64,3,2.Stock,,16.03.2020,1,,1,1,1,,,,,,,,NaN,"St. Karlistrasse 52, 6004 Luzern",21.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23026835,Wohnung,2435,2175,260,105,4.5,,1997,01.05.2020,1,,,,,,100m,300m,,,,50m,4,"Bruchstrasse 12, 6003 Luzern",21.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23003430,Wohnung,1745,1510,235,97,3.5,1.Stock,,sofort,1,1,,1,1,1,50m,,400m,400m,2200m,50m,NaN,"Schädrütistrasse 20, 6006 Luzern",,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
