,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Baujahr,Verfügbarab,Balkon(e),Einstellplatz,Lift,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,ÖV-Haltestelle,Autobahn,Kindergarten,Primarschule,Sekundarschule,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Aussenparkplatz,AltesGebäude,Nutzfläche,Hochparterre,Rollstuhlgängig,Neubau,Geschirrspülmaschine,Estrich,Cheminée,Toiletten,Minergie-zertifiziert,Kubatur,Raumhöhe,Mittelhaus,Wohnungen,Wasseranschluss,Swimmingpool,Möbliert,Grundstückfläche
22903926,Wohnung,1740,1570,170,79,4.5,2.Stock,,nachVereinbarung,1,,,,,1,100m,,,,,250m,NaN,"Langensandstrasse 76, 6005 Luzern",07.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22903035,Wohnung,1490,,,53,2.5,2.Stock,,nachVereinbarung,1,,1,,1,,20m,,,,,100m,NaN,"Hirschengraben, 6003 Luzern",07.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22903825,Wohnung,4990,4690,300,160,5.5,1.Stock,2011,,,1,,,,1,,,,,,,3,6006 Luzern,07.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22897419,Wohnung,1880,1660,220,86,4.5,2.Stock,,,1,,1,,1,1,50m,,100m,700m,700m,500m,NaN,"Hirtenhofstrasse 31, 6005 Luzern",06.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22991225,Attika,1590,1440,150,63,2.5,6.Stock,,01.05.2020,1,1,1,,,1,350m,,500m,790m,,420m,NaN,"Löwengrube 12, 6014 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22902460,Wohnung,1330,1150,180,45,2,1.Stock,,01.03.2020,,,1,,,,,,,,,,NaN,"Ledergasse 11, 6004 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22894993,Wohnung,1210,,,,2,,,nachVereinbarung,,,,,,,,,,,,,NaN,6003 Luzern LU,06.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22900474,Wohnung,2370,2020,350,,5.5,2.Stock,,01.05.2020,1,,,,,1,,,,,,,NaN,"Lützelmattstrasse 18, 6006 Luzern",06.02.2020,luzern,26.02.2020,,,,,,,,,1,,,,,,,,,,
22907738,Wohnung,1120,990,130,48,2,3.Stock,,16.03.2020,,1,,,1,,100m,,,,,250m,NaN,"Waldweg 14, 6005 Luzern",07.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22892300,Wohnung,1920,1750,170,95,4.5,2.Stock,1956,01.05.2020,1,,,,1,,,,,,,,5,"Biregghang 8, 6005 Luzern",06.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22888605,Einzelzimmer,700,,,16,1,,,15.03.2020,,,,,,,,,,,,,NaN,6003 Luzern,05.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22888151,Wohnung,1560,1450,110,,2,1.Stock,,,1,,,,1,,,,,,,,NaN,"Unterlachenstrasse 29, 6005 Luzern",05.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22893950,Wohnung,190,,,,1,,,nachVereinbarung,,,,,,,,,,,,,NaN,6002 Luzern LU,06.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22890091,Terrassenwohnung,1950,1750,200,67,3.5,2.Stock,,sofort,1,,1,,1,,,,,,,,NaN,"Mühlenplatz 12, 6006 Luzern",05.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22887836,Wohnung,800,,,90,1,5.Stock,1973,sofort,,,1,,,,,,,,,,NaN,"Winkelriedstr. 58, 6003 Luzern LU",05.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22890095,Wohnung,1900,1700,200,76,3,5.Stock,,sofort,,,1,,1,,,,,,,,NaN,"Mühlenplatz 12, 6006 Luzern",05.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22984778,Wohnung,1489,1359,130,81,3,EG,,nachVereinbarung,,,,,,,,,,,,,NaN,"Sternmattstrasse 6, 6005 Luzern",05.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22894233,Wohnung,2500,2250,250,104,4.5,EG,,01.05.2020,,1,,1,1,1,,,,,,,NaN,"Kreuzbuchrain 14, 6006 Luzern",06.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22902436,Wohnung,1810,1580,230,88,4.5,5.Stock,1960,nachVereinbarung,1,,1,,,,200m,4000m,1000m,600m,600m,350m,5,"Seefeldstrasse 11, 6006 Luzern",05.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22884647,Wohnung,3010,2710,300,121,5.5,2.Stock,,01.05.2020,1,1,1,1,1,1,,,,,,,NaN,"Seefeldstrasse, 6006 Luzern",04.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22901190,Wohnung,3590,3200,390,148,4.5,6.Stock,2011,01.05.2020,,1,1,1,1,,200m,,1600m,1600m,1600m,200m,4,"Rösslimattstrasse 4, 6005 Luzern",05.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22884640,Wohnung,1650,1400,250,74,3,3.Stock,1954,,1,1,1,1,1,1,150m,200m,100m,800m,3300m,200m,5,"Gütschstrasse 5, 6003 Luzern",04.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22901425,Wohnung,1450,1250,200,,3,1.Stock,,sofort,1,1,,,1,,,,,,,,NaN,"Imfangstrasse 29, 6005 Luzern",05.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22901427,Wohnung,1830,1500,330,,5,2.Stock,,sofort,1,1,,,,1,250m,,,,,300m,NaN,"Imfangring 22, 6005 Luzern",05.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22880876,Wohnung,1780,1550,230,,3.5,2.Stock,,01.05.2020,1,1,1,1,1,,120m,,290m,440m,,310m,NaN,"Seeburgstrasse 12, 6006 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22885540,Wohnung,1145,,,,1,,,nachVereinbarung,,,,,,,,,,,,,NaN,6006 Luzern LU,05.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22880874,Wohnung,770,630,140,,1,1.Stock,,01.05.2020,,,,1,,,290m,,410m,540m,780m,160m,NaN,"Bireggstrasse 32, 6003 Luzern",,luzern,26.02.2020,,1,,,,,,,,,,,,,,,,,
22885265,Wohnung,2650,2300,350,115,6,1.Stock,,16.07.2020,1,1,,1,1,1,50m,,400m,400m,2200m,50m,NaN,"Schädrütistrasse 18, 6006 Luzern",,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22884648,Attika,3550,3300,250,108,4.5,4.Stock,,01.03.2020,1,1,1,1,1,1,,,,,,,NaN,"Seefeldstrasse, 6006 Luzern",04.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22880706,Wohnung,1810,,,72,3,,,05.07.2020,,,,,,,,,,,,,NaN,"Zihlmattweg 42, 6005 Luzern",04.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22873175,Attika,2290,2030,260,97,3.5,2.Stock,2007,01.05.2020,1,,1,1,,,,,,,,,5,"Lützelmattstrasse 7, 6006 Luzern",03.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22879253,Wohnung,aufAnfrage,,,,3.5,5.Stock,,01.03.2020,,,,,,,,,,,,,NaN,"Baselstrasse 93, 6003 Luzern",04.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22876172,Wohnung,647,,,11,1,5.Stock,,04.04.2020,1,,1,,1,,,,,,,,NaN,"Voltastrasse 40, 6005 Luzern LU",04.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22875593,Wohnung,3030,2780,250,126,4.5,2.Stock,1955,01.05.2020,,,1,,,,500m,,,,,500m,3,"Morgartenstrasse 17, 6003 Luzern",04.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22873228,Studio,1190,1050,140,25,1.5,2.Stock,2013,sofort,,1,1,,1,,,,,,,200m,3,"Rodteggstrasse 20, 6005 Luzern",03.02.2020,luzern,26.02.2020,1,,,,,1,,,,,1,,,,,,,,
22878078,Wohnung,1575,,,77,2,Untergeschoss,,01.04.2020,1,,,,1,,200m,,,,,500m,NaN,"Luegetenstrasse 13, 6004 Luzern",04.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22873040,Wohnung,1190,980,210,57,3,1.Stock,1960,01.04.2020,,1,1,,,,300m,1500m,200m,200m,,1000m,5,"Fluhmühlerain 1, 6015 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22880872,Wohnung,1770,1550,220,,3.5,EG,,01.05.2020,1,1,1,1,,,120m,,290m,440m,,310m,NaN,"Seeburgstrasse 12, 6006 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22936809,Wohnung,1960,1730,230,89,4.5,1.Stock,,,1,,1,,1,,100m,,,,,500m,NaN,"Hirtenhofstrasse 36, 6005 Luzern",03.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22868467,Wohnung,2130,1830,300,93,4.5,,,01.03.2020,1,1,1,1,1,,,,,,,,NaN,"Zihlmattweg  42, 6005 Luzern",03.02.2020,luzern,26.02.2020,,,,,1,,,,,,1,,,,,,,,
22871778,Wohnung,3300,3300,350,133,3.5,3.Stock,,,,,,,,,,,,,,,NaN,6004 Luzern,03.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22868280,Wohnung,1500,1300,200,82,4,1.Stock,1960,nachVereinbarung,1,,,,1,,,,,,,,6,"Schädrütistrasse 42, 6006 Luzern",03.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22868365,Dachwohnung,2200,2070,130,60,3,,,15.07.2020,1,,1,,,,150m,1000m,,300m,,100m,NaN,6005 Luzern,03.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22868674,Wohnung,1780,1520,260,74,4,2.Stock,1974,sofort,1,1,,1,1,,,,,,,,4,"Hirtenhofstrasse 6, 6005 Luzern",03.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22870038,Wohnung,1380,1150,230,,3.5,4.Stock,,01.04.2020,,,,,1,,400m,3000m,,,,2500m,NaN,"Thorenbergstrasse 13, 6014 Luzern",03.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22868375,Wohnung,1650,1450,200,68,3,4.Stock,,01.03.2020,1,,,,1,,,,,,,,NaN,"Dreilindenstrasse 15, 6006 Luzern",03.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
13481986,Wohnung,2231,1981,250,101,4.5,5.Stock,1920,13.03.2020,1,,,,1,,50m,2000m,50m,50m,50m,50m,4,"Wesemlinstrasse 1, 6006 Luzern",03.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22879900,Wohnung,2490,2190,300,110,4.5,,1976,sofort,1,,1,,1,1,300m,,,,,,4,"Kreuzbuchstrasse 97, 6006 Luzern",03.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22870019,Dachwohnung,1485,1300,185,55,2.5,6.Stock,,sofort,1,,,,1,,80m,1200m,,,,200m,NaN,"Bireggstrasse 11, 6003 Luzern",03.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22859706,Wohnung,1300,1090,210,,3.5,,,01.04.2020,1,,,,,1,,,,,,,NaN,"Unterwilrain 40, 6014 Luzern",31.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22868312,Wohnung,1795,1615,180,75,3,3.Stock,1940,sofort,1,,,,1,,300m,1000m,400m,400m,,400m,4,"Rankhofstrasse 20, 6006 Luzern",01.02.2020,luzern,26.02.2020,1,,,,,1,,,,,,,,,,,,,
22861695,Wohnung,1570,1330,240,82,3.5,11.Stock,1970,nachVereinbarung,,1,1,,1,,800m,,450m,450m,1500m,1100m,5,"Waldstrasse 5, 6015 Luzern",31.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22858565,Wohnung,1930,1800,130,,3,,,01.04.2020,1,,,1,,1,30m,,460m,460m,,300m,NaN,"Klosterstrasse 17, 6003 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22859704,Wohnung,1560,1450,110,,2,EG,,,1,,,,1,,100m,,,,,150m,NaN,"Unterlachenstrasse 29, 6005 Luzern",31.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22866956,Wohnung,432,,,,1,,,nachVereinbarung,,,,,,,,,,,,,NaN,6003 Luzern LU,03.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22859702,Wohnung,1200,,,,2,EG,,,,,,,,,,500m,200m,,,50m,NaN,"Bernstrasse, 6003 Luzern",31.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22866955,Wohnung,960,,,16,1,5.Stock,,15.03.2020,1,,1,,1,,,,,,,,NaN,6004 Luzern LU,03.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22859707,Wohnung,1550,1350,200,,3.5,1.Stock,1972,01.03.2020,1,1,,,1,1,200m,2000m,200m,200m,1000m,200m,NaN,"Bennenegg 28, 6014 Luzern",31.01.2020,luzern,26.02.2020,1,,74,,,,,,,,,,,,,,,,
22895662,Dachwohnung,1200,,,,4.5,5.Stock,,01.03.2020,1,,1,,,,,,,,,,NaN,"Sempacherstrasse 22, 6003 Luzern",03.02.2020,luzern,26.02.2020,,,,,,,,,,,1,,,,,,,,
22852386,Wohnung,1680,1480,200,93,3.5,3.Stock,1996,01.04.2020,,,,,,,,,,,,,6,"Büttenenhalde 56, 6006 Luzern",30.01.2020,luzern,26.02.2020,,,,,,,,,,,,257m³,,,,,,,
22849723,Wohnung,1540,1340,200,50,3,2.Stock,,sofort,,,1,1,,1,180m,,80m,210m,,420m,NaN,"Blattenmoosstrasse 2, 6014 Luzern",,luzern,26.02.2020,1,,50,,,,,,,,,,,,,,,,
22855595,Wohnung,1560,1380,180,65,3,1.Stock,,01.03.2020,1,,,,1,,,,,,,,NaN,"Elfenaustrasse 27, 6005 Luzern",31.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22850698,Wohnung,860,770,90,30,1,2.Stock,1963,nachVereinbarung,1,,1,,1,,10m,2000m,,,,100m,5,"Kellerstrasse 29, 6005 Luzern",30.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22853335,Wohnung,900,,,14,1,1.Stock,,01.04.2020,1,,,,,,,,,,,,NaN,6005 Luzern LU,31.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22852489,Wohnung,1280,1160,120,45,2,EG,,01.04.2020,1,,1,1,1,,250m,,,,,450m,NaN,"Wesemlinstrasse 15, 6006 Luzern",30.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22936527,Wohnung,3650,3300,350,133,3.5,3.Stock,1600,nachVereinbarung,,,,,,,100m,600m,150m,150m,150m,50m,NaN,6004 Luzern,31.01.2020,luzern,26.02.2020,,1,135,,,,,,1,,,,,,6,,,,
22852488,Wohnung,1480,1340,140,82,2.5,3.Stock,,01.05.2020,,1,1,,1,,50m,500m,100m,100m,1000m,200m,NaN,"Obergrundstrasse 70, 6003 Luzern",30.01.2020,luzern,26.02.2020,,,82,,,,,,,,,,,,,,,,
22857316,Wohnung,2000,,,135,4.5,2.Stock,2018,15.04.2020,,1,1,,1,1,20m,,730m,1020m,,130m,NaN,"Industriestrasse 3, 6005 Luzern",31.01.2020,luzern,26.02.2020,,,147,,,,,,,,,,,,,,,,
22852492,Wohnung,2100,1850,250,93,3.5,EG,2016,01.04.2020,1,1,1,,1,1,100m,2000m,20m,100m,800m,50m,4,"Neuhushof 13, 6014 Luzern",30.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22847259,Attika,889,,,85,3.5,,,01.03.2020,,,,,,,,,,,,,NaN,"Birkenstrasse 7, 6003 Luzern",30.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22843387,Wohnung,1980,1800,180,85,2.5,1.Stock,2008,01.04.2020,1,1,1,1,1,,,,,,,,5,"Lützelmattstrasse 5, 6006 Luzern",29.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22843388,Wohnung,8200,,,227,5,2.Stock,1981,,1,1,1,1,,,50m,,,,,,NaN,"HALDENSTRASSE, 6006 Luzern",29.01.2020,luzern,26.02.2020,1,,,,,,,,1,,,,,,,,,,
22843380,Wohnung,1730,1480,250,,4.5,3.Stock,,sofort,1,1,,,1,1,400m,3700m,400m,1000m,1000m,400m,NaN,"Zumbachweg 16, 6005 Luzern",29.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22936234,Wohnung,1375,,,,3,,,nachVereinbarung,,,,,,,,,,,,,NaN,"Würzenbachstrasse 48, 6006 Luzern",30.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22854374,Wohnung,1920,1620,300,98,5.5,2.Stock,,01.05.2020,1,,,,1,1,500m,,250m,300m,,510m,NaN,"Unterwilrain 42, 6014 Luzern",30.01.2020,luzern,26.02.2020,1,,,,,1,,,,,,,,,,,,,
22843385,Wohnung,1090,1000,90,34,1,EG,,01.04.2020,1,,1,1,1,,400m,1500m,600m,600m,1200m,500m,NaN,"Wesemlinstrasse 15, 6006 Luzern",29.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22848808,Wohnung,1490,1260,230,74,3.5,3.Stock,1978,nachVereinbarung,1,1,1,1,1,1,200m,,200m,500m,1500m,1000m,5,"Längweiherstr. 16, 6014 Luzern",30.01.2020,luzern,26.02.2020,1,1,,,,,,,,,,,,,,,,,
22849316,Wohnung,1980,1820,160,110,5.5,4.Stock,1947,sofort,1,,,,1,,100m,500m,150m,500m,1200m,700m,5,"Geissmattstrasse 19, 6004 Luzern",,luzern,26.02.2020,,1,,,,,,,,,,,,,,,,,
22843382,Wohnung,2270,2090,180,112,4.5,2.Stock,,sofort,1,1,1,,1,1,350m,,550m,,,500m,NaN,"Matthofstrasse 6a, 6005 Luzern",29.01.2020,luzern,26.02.2020,1,,90,,,,,,1,,,,,,,,,,
22843377,Wohnung,1340,1170,170,60,3,1.Stock,,,,,,,,,,,,,,,NaN,"Baselstrasse 63, 6003 Luzern",29.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22847990,Wohnung,1300,1110,190,55,2,EG,1990,01.04.2020,1,,,,,,200m,1000m,,,,700m,5,"Geissmattstrasse 50, 6004 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22847642,Wohnung,1770,1570,200,92,3.5,1.Stock,1997,nachVereinbarung,,,,1,,,200m,,,,,,NaN,"Säntihof 8, 6014 Luzern",29.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22842167,Wohnung,1645,1425,220,,4.5,2.Stock,,nachVereinbarung,1,,,1,1,,,,,,,,NaN,"Unterwilrain 44, 6014 Luzern",29.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22849746,Wohnung,1020,920,100,30,1,1.Stock,1965,nachVereinbarung,,,1,,,,,,,198m,,,3,"Maihofstr. 68A, 6006 Luzern",29.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22847637,Wohnung,1870,1630,240,92,3.5,3.Stock,1997,nachVereinbarung,,,,1,,,200m,,,,,,4,"Säntihof 6, 6014 Luzern",29.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22840688,Wohnung,1640,1510,130,63,2.5,,1942,sofort,1,,,,,,,,,,,,4,"Sternmattstrasse 13, 6005 Luzern LU",29.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22840362,Maisonette,4800,4450,350,,5.5,,2016,27.03.2020,1,1,1,,1,,300m,2000m,,,,600m,NaN,"Mozartstrasse 30, 6004 Luzern",29.01.2020,luzern,26.02.2020,,,,,,1,,,,,,,,,,,,,
22840366,Wohnung,1450,1270,180,56,3,EG,,01.04.2020,1,,,,1,,,,,,,,NaN,"Bernstrasse 39, 6003 Luzern",29.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22831634,Wohnung,1850,1670,180,73,3.5,4.Stock,1920,13.04.2020,1,,,,1,,50m,2000m,50m,50m,50m,50m,4,"Wesemlinstrasse 1, 6006 Luzern",28.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22848879,Wohnung,1900,1640,260,76,3.5,12.Stock,2012,01.03.2020,,1,1,1,1,1,25m,,1000m,1000m,1000m,25m,5,"Zihlmattweg 44, 6005 Luzern",29.01.2020,luzern,26.02.2020,,,,,,1,,,,,,,,,,,,,
22831641,Wohnung,1550,1350,200,64,2,2.Stock,1960,01.05.2020,,,1,1,1,,20m,1000m,50m,50m,50m,,4,"Obergrundstrasse 72, 6003 Luzern",28.01.2020,luzern,26.02.2020,,,,,1,,,,,,,,,,,,,,
22838733,Wohnung,1300,1110,190,55,2,EG,,,,,,,,,,,,,,,NaN,6004 Luzern,29.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22849068,Wohnung,1890,1690,200,66,3.5,2.Stock,,nachVereinbarung,1,,,,,,,,,,,,NaN,"Bodenhofstrasse 13, 6005 Luzern",28.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22832804,Wohnung,3675,3375,300,155,5.5,4.Stock,2012,01.06.2020,,,1,,1,1,300m,2700m,100m,1200m,450m,350m,5,"Johanna-Hodel-Gasse 3, 6005 Luzern",28.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22907717,Wohnung,1415,1185,230,,3.5,3.Stock,,01.03.2020,,,,,,,,,,,,,NaN,"Luzernerstrasse 67, 6014 Luzern",28.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23002664,Wohnung,2490,2220,270,119,5.5,2.Stock,2002,,,,,,,,250m,,450m,1600m,1600m,1600m,5,"Maihofstrasse 95 B, 6006 Luzern",28.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22848011,Wohnung,2240,1890,350,95,4.5,EG,1933,01.06.2020,,1,,,,,,,,,,,4,"Sternmattstrasse 34, 6005 Luzern",29.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,4,,,,
22838841,Dachwohnung,1720,1520,200,,3.5,3.Stock,,01.05.2020,1,,,,1,,,,,,,,NaN,"Sandeggstrasse 11, 6015 Luzern",29.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22831572,Wohnung,1400,,,45,1.5,2.Stock,,01.04.2020,,,1,,1,,,,,,,,NaN,"Moosstrasse 2, 6003 Luzern",28.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22828816,Wohnung,1820,1700,120,57,2.5,4.Stock,1964,nachVereinbarung,1,,,,,,,,,,,,3,"Winkelriedstrasse 56, 6003 Luzern",27.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22828985,Wohnung,1595,,,,3.5,2.Stock,,,,,1,,,,,,,,,,NaN,"Klosterstrasse 15, 6003 Luzern",27.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22831527,Wohnung,1700,1550,150,71,2.5,Untergeschoss,2015,09.04.2020,,1,1,1,1,,,,,,,,NaN,"Bireggring 18, 6005 Luzern",28.01.2020,luzern,26.02.2020,,,,,1,,,,,,1,,,,,,,,
22830050,Wohnung,1300,1100,200,210,1,5.Stock,,01.05.2020,1,,1,,,,,,,,,,NaN,"Pilatusstrasse 34, 6003 Luzern LU",28.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22828993,Wohnung,2790,2500,290,116,2.5,1.Stock,1923,,1,1,,,1,,200m,200m,400m,400m,,400m,3,"Obergrundstrasse 115, 6005 Luzern",27.01.2020,luzern,26.02.2020,,,,,,,,,1,,,,,,,,,,
22828984,Wohnung,1230,1050,180,58,2.5,3.Stock,,01.04.2020,,,1,,,,150m,100m,100m,100m,,100m,NaN,"Gibraltarstrasse 7, 6003 Luzern",27.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22831564,Wohnung,1930,1700,230,100,4,3.Stock,,nachVereinbarung,1,,,,,,,,,,,,NaN,"Nägelistrasse  5, 6004 Luzern",28.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22828992,Wohnung,1870,1695,175,81,3.5,EG,,,1,,,,1,1,200m,,500m,,,1000m,NaN,"Hirtenhofring 15, 6005 Luzern",27.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22832079,Wohnung,1425,1185,240,,3,1.Stock,,nachVereinbarung,,,,,,,,,,,,,NaN,"Luzernerstrasse 77, 6014 Luzern",27.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22826287,Wohnung,660,,,14,1,1.Stock,,sofort,1,,1,1,,,,,,,,,NaN,6005 Luzern LU,27.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22905574,Wohnung,1230,,,60,2.5,,,01.04.2020,,,,,,,,,,,,,NaN,"Gibraltarstrasse 7, 6003 Luzern",27.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22825952,Wohnung,1465,1295,170,,2.5,1.Stock,,01.03.2020,,,,,,,,,,,,,NaN,"Zürichstrasse 73, 6004 Luzern",27.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22827502,Wohnung,1830,1690,140,74,3.5,6.Stock,,sofort,,,1,,1,,200m,,,,,200m,NaN,"Sempacherstrasse 1, 6003 Luzern",27.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22824163,Wohnung,1600,1450,150,71,3.5,8.Stock,,16.03.2020,1,1,1,,1,,500m,2500m,50m,250m,250m,900m,NaN,"Fluhmühlerain 20, 6015 Luzern",27.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22824141,Wohnung,1600,1450,150,71,3.5,7.Stock,,sofort,1,1,1,,1,,500m,2500m,50m,250m,250m,900m,NaN,"Fluhmühlerain 24, 6015 Luzern",27.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22824206,Dachwohnung,2750,2550,200,96,4.5,3.Stock,,01.05.2020,1,,,1,1,,,,,,,,NaN,"Elfenaustrasse 39, 6005 Luzern",27.01.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22825263,Wohnung,2170,1890,280,108,4.5,2.Stock,,,1,1,1,,,,,,,,,,NaN,"Rothenpark 2, 6015 Luzern",27.01.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22824176,Wohnung,1300,1160,140,65,2.5,EG,,31.03.2020,1,,,,1,,300m,1000m,500m,500m,,500m,NaN,"Luegetenstrasse 23, 6004 Luzern",27.01.2020,luzern,26.02.2020,,,,1,,,,,,,,,,,,,,,
22831593,Wohnung,2500,2250,250,,4,,,01.04.2020,,,,,1,,250m,3600m,,,,200m,NaN,"Bergstrasse 25, 6004 Luzern",27.01.2020,luzern,26.02.2020,1,1,,,,,,,,,,,,,,,,,
22811415,Wohnung,2520,2300,220,156,4.5,1.Stock,2016,sofort,1,1,1,,,,,,,,,,5,"Staldenhof Alt, 6014 Luzern",24.01.2020,luzern,26.02.2020,1,,,,1,,,,,,,,,,,,,,
