,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Verfügbarab,Balkon(e),Lift,AltesGebäude,ÖV-Haltestelle,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Nutzfläche,Baujahr,Aussenparkplatz,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,Kindergarten,Primarschule,Sekundarschule,Autobahn,Einstellplatz,Rollstuhlgängig,Minergie-zertifiziert,Cheminée,Kubatur,Hochparterre,Neubau,Wohnungen,Wasseranschluss,Toiletten,Mittelhaus,Möbliert,JährlicherMietpreisprom²,JährlicherMietpreisprom²(exkl.NK)
22939407,Wohnung,2270,2000,270,96,3.5,2.Stock,01.05.2020,,,,,,5,"Weltpoststrasse 8c, 3015 Bern",,bern,26.02.2020,,2012,,,,,,,,,,,,,236m³,,,,,,,,,
22939305,Wohnung,1200,1000,200,35,1,1.Stock,01.03.2020,,1,1,100m,300m,NaN,"Nydeggstalden 8, 3011 Bern",,bern,26.02.2020,,,,1,1,,,,,3000m,,,,,,,,,,,,,,
22939638,Wohnung,1390,1160,230,63,3,1.Stock,nachVereinbarung,,,,300m,650m,NaN,"Fröschmattstrasse 20, 3018 Bern",12.02.2020,bern,26.02.2020,,,,,,,350m,1400m,4900m,2500m,,,,,,,,,,,,,,
22939332,Wohnung,2280,2000,280,100,3.5,1.Stock,01.05.2020,1,,,,,NaN,"Wilkerstrasse 32, 3008 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22999552,Wohnung,950,850,100,30,1,3.Stock,01.04.2020,1,,,,,NaN,"Seftigenstrasse 95, 3007 Bern",12.02.2020,bern,26.02.2020,,,,1,,,,,,,,,,,,,,,,,,,,
22939276,Wohnung,1393,1213,180,52,2,5.Stock,01.05.2020,1,1,,350m,,3,"Fabrikstrasse 29 B, 3012 Bern",12.02.2020,bern,26.02.2020,,1960,,,,,,,,,,,,,,,,,,,,,,
22939313,Attika,3385,3035,350,119,5,4.Stock,01.05.2020,1,1,,100m,100m,NaN,"Mattenhofstrasse 39, 3007 Bern",,bern,26.02.2020,,,,1,,1,,500m,,,,,,,,,,,,,,,,
22938234,Wohnung,1700,1500,200,,3,EG,01.05.2020,1,,,,,NaN,"Attinghausenstrasse 13, 3014 Bern",12.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22939331,Wohnung,2880,2380,500,131,4.5,2.Stock,01.05.2020,1,1,,,,NaN,"Le-Corbusier-Platz 11, 3027 Bern",,bern,26.02.2020,,,,,1,1,,,,,,,,,,,,,,,,,,
23023797,Wohnung,1375,1050,325,,3.5,,,,,,,,NaN,3018 Bern,12.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22939242,Wohnung,1190,950,240,,2,EG,01.05.2020,,,,,,NaN,"Jupiterstrasse 41, 3015 Bern",,bern,26.02.2020,,,,,,,,,,,,1,,,,,,,,,,,,
22934785,Wohnung,1368,,,47,2.5,Untergeschoss,sofort,,1,,390m,,NaN,"Murtenstrasse 143 B, 3008 Bern",,bern,26.02.2020,47,,,,1,,750m,600m,,10m,1,,,,,,1,,,,,,,
22936337,Wohnung,1500,1290,210,66,3.5,,01.04.2020,1,,,89m,229m,NaN,"Zelgstrasse 31, 3027 Bern",,bern,26.02.2020,,,,,1,1,145m,111m,443m,711m,1,,,,,,,,,,,,,
22934611,Wohnung,1040,900,140,25,1,4.Stock,01.05.2020,,1,,120m,500m,2,"Seilerstrasse 25, 3011 Bern",12.02.2020,bern,26.02.2020,,1910,,,,,2400m,900m,900m,,,,,,,,,,,,,,,
22934667,Wohnung,1640,1440,200,78,3,2.Stock,01.05.2020,,,1,100m,100m,NaN,"Weissensteinstrasse 22a, 3008 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22936087,Wohnung,1190,950,240,,2,,,,,,,,NaN,3015 Bern,12.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22936306,Wohnung,2880,2380,500,131,4.5,2.Stock,,,,,,,NaN,3027 Bern,12.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22936305,Wohnung,2280,2000,280,100,3.5,1.Stock,,,,,,,NaN,3008 Bern,12.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22934786,Dachwohnung,1150,1000,150,,2,3.Stock,01.04.2020,,,,1290m,1260m,NaN,"Vennerweg 6, 3006 Bern",,bern,26.02.2020,,,,,,,480m,790m,,,,,,,,,,,,,,,,
22972267,Wohnung,1085,935,150,,1,EG,01.05.2020,,,,,,NaN,"Hildanusstrasse 18, 3013 Bern BE",12.02.2020,bern,26.02.2020,,2000,,,,,,,,,,,,,,,,,,,,,,
22934107,Wohnung,1550,1350,200,68,3,1.Stock,01.06.2020,,,,,,NaN,"Schlossstrasse 106, 3008 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22930157,Wohnung,1530,1290,240,64,2.5,1.Stock,15.04.2020,1,,,,,4,"Funkerstrasse 17, 3013 Bern",11.02.2020,bern,26.02.2020,,1943,,,,,,,,,,,,,,,,,,,,,,
23023378,Wohnung,1225,1050,175,52,2.5,EG,01.04.2020,,,,,,NaN,"Bottigenstrasse 31, 3018 Bern",11.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22930381,Wohnung,3050,2640,410,110,3.5,2.Stock,nachVereinbarung,1,1,1,500m,500m,NaN,"Matterstrasse 4, 3006 Bern",,bern,26.02.2020,,,,1,1,1,250m,250m,250m,,1,,,1,,,,,,,,,,
22930380,Wohnung,3085,2685,400,124,4.5,1.Stock,31.10.2020,1,1,1,100m,100m,NaN,"Matterstrasse 2, 3006 Bern",,bern,26.02.2020,,,,,1,1,250m,250m,,,1,1,,,,,,,,,,,,
22930475,Wohnung,1800,1600,200,76,3,2.Stock,01.05.2020,,,,20m,10m,NaN,"Seftigenstrasse 40, 3007 Bern",11.02.2020,bern,26.02.2020,,,,1,1,,,,,1000m,,,,,,,1,,,,,,,
22930236,Wohnung,1700,,,,1,,nachVereinbarung,,,,,,NaN,3011 Bern BE,11.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22929352,Wohnung,2550,2260,290,,3.5,2.Stock,nachVereinbarung,1,1,,640m,510m,NaN,"Stadtbachstrasse 40, 3012 Bern",,bern,26.02.2020,,,,,1,1,810m,,,,,,,,,,,,,,,,,
22930674,Wohnung,1250,,,,2.5,5.Stock,01.05.2020,,,,,,NaN,3007 Bern BE,11.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22933485,Wohnung,610,,,9,1,10.Stock,sofort,1,1,,,,NaN,"Mühledorfstrasse, 1, 3018 Bern BE",12.02.2020,bern,26.02.2020,,,,,,,,,,,1,,,,,,,,,,,,,
22930732,Wohnung,1790,1590,200,95,3.5,1.Stock,15.05.2020,,1,,150m,200m,5,"Könizstrasse 21a, 3008 Bern",11.02.2020,bern,26.02.2020,,1990,,,1,1,550m,650m,550m,1000m,1,,,,,,,,,,,,,
22927851,Wohnung,1210,,,55,2.5,,sofort,,,,,,NaN,"Kalcheggweg 4, 3006 Bern",11.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22926768,Wohnung,2280,1990,290,119,2.5,2.Stock,01.05.2020,,,,,,NaN,"Dählhölzliweg 3, 3005 Bern",11.02.2020,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22926744,Wohnung,1370,1180,190,50,2.5,4.Stock,15.04.2020,1,1,,30m,30m,3,"Brunnmattstrasse 20 A, 3007 Bern",,bern,26.02.2020,,1974,,,,,,,,,,,,,,,,,,,,,,
22935654,Wohnung,1375,,,,2,,sofort,,,,,,NaN,"Federweg, 3008 Bern",11.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22926841,Wohnung,1780,1600,180,,1.5,2.Stock,01.03.2020,,,1,50m,100m,NaN,"Zibelegässli 16, 3011 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22921196,Wohnung,1900,1730,170,85,2,1.Stock,01.03.2020,,,,100m,250m,NaN,"Schifflaube 22, 3011 Bern",,bern,26.02.2020,,,,,,,200m,50m,,,,,,,,,,,,,,,,
22926787,Wohnung,1900,1550,350,,3,5.Stock,01.06.2020,,1,,100m,150m,NaN,"Viktoriarain 17, 3013 Bern",,bern,26.02.2020,,,,,1,1,,,,,,,,,,,,,,,,,,
22924690,Wohnung,1900,1550,350,,3,5.Stock,,,,,,,NaN,3013 Bern,11.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22926854,Wohnung,1230,1050,180,,2.5,,01.03.2020,1,,,,,NaN,"Stöckackerstrasse 77, 3018 Bern",,bern,26.02.2020,,,,,,,,,,,1,,,,,1,,,,,,,,
22927538,Wohnung,1510,1290,220,75,3.5,11.Stock,01.03.2020,1,1,,,,4,"Normannenstrasse 35, 3018 Bern",11.02.2020,bern,26.02.2020,,1966,,,1,1,,,,,1,,,,,,,,,,,,,
22917444,Wohnung,1690,1510,180,,2.5,4.Stock,,,,,50m,100m,NaN,"Monbijoustrasse 82, 3007 Bern",10.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22921966,Wohnung,2170,1950,220,93,3.5,1.Stock,,1,,,,,NaN,"Gryphenhübeliweg 26, 3006 Bern",10.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,1,,,,,,,
22921444,Wohnung,1680,1480,200,61,2.5,4.Stock,01.05.2020,1,,,,,3,"Gutenbergstr. 39, 3011 Bern",10.02.2020,bern,26.02.2020,,1934,,1,,,,225m,,,,,,,,,,,1,1,,,,
22918193,Wohnung,1840,1600,240,73,3,EG,01.06.2020,,,,250m,700m,4,"Muristrasse 92, 3006 Bern",,bern,26.02.2020,,1941,,,,,,,,,,,,,,,,,,,,,,
22921968,Wohnung,840,730,110,26,1,1.Stock,,1,,,,,NaN,"Giacomettistrasse 25 a, 3006 Berne",10.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,1,,,,,,,
22920049,Wohnung,2585,2350,235,100,3.5,2.Stock,01.03.2020,1,1,,160m,50m,3,"Schwarztorstrasse 102, 3007 Bern",,bern,26.02.2020,,2013,,,1,1,320m,280m,,,,,,,,,,,,,,,,
22921036,Wohnung,1475,1235,240,70,3.5,3.Stock,01.05.2020,1,1,,,,NaN,"Balthasarstrasse 19, 3027 Bern",10.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22918325,Wohnung,1900,1590,310,,4,3.Stock,01.05.2020,1,,,200m,500m,NaN,"Holzikofenweg 20, 3007 Bern",,bern,26.02.2020,,,,1,1,,,,,,,,,,,,,,,,,,,
22917445,Wohnung,1685,,,75,3,,sofort,,,,,,NaN,"beundenfeldstrasse, 3013 Bern",10.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22918106,Wohnung,1580,1400,180,54,2.5,EG,15.03.2020,1,1,,190m,64m,3,"Quartiergasse 16, 3013 Bern",10.02.2020,bern,26.02.2020,,1972,,,,,290m,100m,100m,,,,,,,,,,,,,,,
22917261,Wohnung,1295,1050,245,,2.5,14.Stock,nachVereinbarung,1,1,,,,NaN,"Holenackerstrasse 65, 3027 Bern",10.02.2020,bern,26.02.2020,59,,,,1,,,,,,,,,,,,,1,,,,,,
22916861,Dachwohnung,1250,1060,190,65,3,2.Stock,01.04.2020,,,,100m,100m,5,"Aehrenweg 29, 3027 Bern",10.02.2020,bern,26.02.2020,,1950,,1,1,,1000m,1000m,,2000m,,,,,,,,,,,,,,
22915007,Wohnung,2900,2700,200,120,4,2.Stock,sofort,1,,1,150m,400m,2,"Diesbachstrasse, 3012 Bern",,bern,26.02.2020,100,1906,,,1,,,,,,,,,,,,,,,,,,,
22915512,Wohnung,1030,,,26,1,1.Stock,09.03.2020,1,1,,,,NaN,"Parkstrasse 11, 3014 Bern BE",10.02.2020,bern,26.02.2020,,,1,,,,,,,,1,,,,,,,,,,,,,
22915626,Wohnung,1344,,,,1.5,,nachVereinbarung,,,,,,NaN,3014 Bern BE,09.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22927029,Wohnung,1520,,,,3,,01.03.2020,,,,,,NaN,"Waldheimstrasse 8, 3012 Bern",10.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22915623,Wohnung,855,,,,1,2.Stock,01.04.2020,1,1,,,,NaN,"Mittelstrasse 16, 3012 Bern BE",10.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22915513,Wohnung,890,,,15,1,4.Stock,01.06.2020,1,1,,,,NaN,"Chutzenstrasse 67, 3007 Bern BE",10.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22915909,Wohnung,1730,,,,3,,nachVereinbarung,,,,,,NaN,3014 Bern BE,10.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22921967,Wohnung,1360,1200,160,57,2.5,4.Stock,,1,,,,,6,"Giacomettistrasse 25, 3006 Bern",10.02.2020,bern,26.02.2020,,2016,,,,,,,,,,,,,,,1,,,,,,,
22914284,Wohnung,1000,,,36,2,,15.03.2020,,,,,,NaN,"Weberstrasse, 3007 Bern",09.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22912691,Wohnung,aufAnfrage,,,,,,nachVereinbarung,,,,,,NaN,3006 Bern,08.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22914440,Einzelzimmer,650,,,80,,,sofort,,,,,,NaN,"zentweg, 3006 Bern",09.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22914286,Wohnung,1250,,,52,2,,01.03.2020,,,,,,NaN,"Landoltstrasse, 3007 Bern",09.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22992549,Wohnung,850,,,,1.5,,nachVereinbarung,,,,,,NaN,3006 Bern BE,08.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22914048,Wohnung,2080,,,90,3.5,,01.03.2020,,,,,,NaN,"Kyburgstrasse 1, 3013 Bern",09.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22907779,Wohnung,1640,1400,240,80,3.5,2.Stock,01.04.2020,1,,,660m,340m,NaN,"Alemannenstrasse 40, 3018 Bern",,bern,26.02.2020,,,,,,1,330m,670m,,,,,,,,,,,,,,,,
22912720,Studio,1200,,,20,1,,nachVereinbarung,,,,,,NaN,"Mittelstrasse, 3012 Bern",08.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22907776,Wohnung,1640,1400,240,77,3.5,1.Stock,sofort,1,,,660m,340m,NaN,"Alemannenstrasse 40, 3018 Bern",,bern,26.02.2020,,,,,,1,330m,670m,,,,,,,,,,,,,,,,
22909233,Wohnung,1690,1450,240,87,3.5,2.Stock,01.05.2020,1,,,690m,600m,NaN,"Alemannenstrasse 44, 3018 Bern",,bern,26.02.2020,,,,,,1,250m,810m,,,,,,,,,,,,,,,,
22904990,Wohnung,1390,1190,200,75,3,EG,nachVereinbarung,1,,1,70m,1200m,NaN,"Faehrstrasse 29, 3004 Bern",07.02.2020,bern,26.02.2020,,,1,,1,,1200m,1200m,1200m,2000m,,,,,,1,,,,,,,,
22907750,Wohnung,2100,1900,200,86,3,2.Stock,15.03.2020,1,1,1,100m,100m,NaN,3012 Bern,,bern,26.02.2020,,,,1,1,,,,,1000m,,,,,,,,,,,,,,
22907663,Dachwohnung,1260,1100,160,72,2.5,,16.03.2020,,,,,,5,"Schwarztorstrasse 97, 3007 Bern",,bern,26.02.2020,,1929,,,1,,,,,,,,,,,,,,,,,,,
22905888,Wohnung,1400,1240,160,,2.5,1.Stock,sofort,,,,100m,100m,NaN,"Kasernenstrasse 11c, 3013 Bern",,bern,26.02.2020,,1930,,,,,,,,,,,,,,,,,,,,,,
22906685,Wohnung,1282,252,1030,,,,,,,,,,NaN,"Freiburgstrasse 123, 3008 Bern",07.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22904395,Wohnung,1860,,,80,3.5,,sofort,,,,,,NaN,"Hüsliackerstrasse 23, 3018 Bern",07.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22909204,Wohnung,3700,3500,200,130,5.5,,01.03.2020,1,,,,,NaN,3006 Bern,07.02.2020,bern,26.02.2020,,1960,1,,1,1,,,,,1,,,1,,,,,,,,,,
22902034,Wohnung,1490,1340,150,59,2.5,3.Stock,sofort,,1,,,,NaN,"Mühledorfstrasse 4, 3018 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22961182,Wohnung,1450,1150,300,,1.5,2.Stock,01.05.2020,,,,840m,1480m,NaN,"Kollerweg 30, 3006 Bern",,bern,26.02.2020,,,,,,,560m,560m,,,,,,,,,,,,,,,,
22903942,Wohnung,1870,1590,280,90,4.5,3.Stock,16.05.2020,1,1,,100m,100m,NaN,"Waldmannstrasse 14, 3027 Bern",,bern,26.02.2020,,,,1,1,1,100m,100m,100m,,,,,,,,,,,,,,,
22901311,Wohnung,2000,1750,250,,2.5,EG,01.04.2020,1,,1,50m,100m,NaN,"Hallwylstrasse, 3005 Bern",,bern,26.02.2020,,1900,,,,,,,,,,,,,,,,,,,,,,
22901294,Wohnung,2870,2570,300,115,3.5,2.Stock,01.06.2020,1,,1,100m,100m,NaN,"Jubiläumsstrasse 97, 3005 Bern",,bern,26.02.2020,,,,,1,,,,,,1,,,,,,,,,,,,,
22900020,Wohnung,1580,1340,240,,3,1.Stock,01.05.2020,1,,,,,NaN,"Schenkstrasse 41, 3008 Bern",,bern,26.02.2020,,,,,1,1,,,,,,,,,,,,,,,,,,
22900019,Wohnung,1180,1020,160,,1,2.Stock,sofort,1,,,280m,570m,NaN,"Morillonstrasse 48, 3007 Bern",,bern,26.02.2020,,,,,,,370m,,,,,,,,,,,,,,,,,
22898386,Wohnung,860,,,,1,,nachVereinbarung,,,,,,NaN,3013 Bern BE,07.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22898387,Wohnung,1160,,,28,1.5,1.Stock,01.04.2020,1,1,,,,NaN,"Quartiergasse, 3013 Bern BE",07.02.2020,bern,26.02.2020,,1980,,,,,,,,,,,,,,,,,,,,,,
22901545,Wohnung,1626,1466,160,65,2,3.Stock,01.03.2020,,,1,,100m,NaN,"Gerechtigkeitsgasse 56, 3011 Bern",07.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22901993,Wohnung,1860,1460,400,92,4.5,4.Stock,01.05.2020,1,1,1,100m,60m,NaN,"Sulgeneckstrasse 64, 3006 Bern",,bern,26.02.2020,,,1,1,1,,1110m,630m,,1500m,1,,,,,,,,,,,,,
22900764,Wohnung,2650,2100,550,,5,3.Stock,01.06.2020,1,1,,100m,200m,NaN,"Untermattweg 64, 3027 Bern",,bern,26.02.2020,,,,,1,1,,,,,,,,,,,,,,,,,,
22900625,Wohnung,3310,2960,350,122,4,4.Stock,sofort,1,1,1,,,NaN,"Monbijoustrasse 22, 3011 Bern",,bern,26.02.2020,,,1,,1,,,,,,,,,,,,,,,,,,,
22897108,Attika,3350,3050,300,,4.5,3.Stock,01.03.2020,1,1,,,,NaN,"Wasserwerkgasse 37, 3011 Bern",06.02.2020,bern,26.02.2020,,1981,,,1,1,,,,,,,,1,,,,,,,,,,
22895173,Wohnung,700,,,,3,,nachVereinbarung,,,,,,NaN,3018 Bern BE,06.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22900690,Wohnung,2030,1705,325,95,3.5,1.Stock,nachVereinbarung,,,,,,4,"Riedbachstrasse 81, 3027 Bern",06.02.2020,bern,26.02.2020,,2012,,,,,,,,,,,,,237m³,,,,,,,,,
22902420,Wohnung,1210,1095,115,44,1,EG,01.05.2020,,,,,,3,"Buristr. 8, 3006 Bern",06.02.2020,bern,26.02.2020,,1967,,1,1,,,,,,,,,,,,,,,,,,,
22903422,Wohnung,1270,1070,200,,2.5,2.Stock,01.03.2020,1,,,10m,400m,NaN,"Keltenstrasse 11, 3018 Bern",07.02.2020,bern,26.02.2020,,,,,,,450m,400m,400m,1300m,,,,,,,,,,,,,,
22899965,Wohnung,1410,1190,220,,2.5,1.Stock,01.03.2020,1,,,,,NaN,"Bantigerweg 56, 3006 Bern",06.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22899897,Wohnung,1850,1650,200,55,2.5,1.Stock,01.05.2020,1,1,,20m,20m,NaN,"Aegertenstrasse 53, 3005 Bern",,bern,26.02.2020,,,,,1,,,,,2000m,,,,,,,,,,,,,,
22896587,Wohnung,1050,950,100,35,1.5,EG,01.04.2020,,,,400m,1000m,3,"Egelgasse 47, 3006 Bern",06.02.2020,bern,26.02.2020,,1957,,,,,1000m,2100m,4700m,3300m,,,,,,,,,,,,,,
22901261,Studio,1168,1000,168,51,1,EG,01.05.2020,,1,,50m,100m,4,"Mattenhofstr. 15, 3007 Bern",06.02.2020,bern,26.02.2020,,1992,,1,1,1,500m,500m,1000m,,1,,,,,,1,,,,1,,,
22895843,Wohnung,1210,1095,115,44,1,,,,,,,,NaN,3006 Bern,06.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22899973,Wohnung,1800,1415,385,,2.5,3.Stock,15.03.2020,,1,,190m,300m,NaN,"Münstergasse 58, 3011 Bern",05.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22902421,Wohnung,1780,1530,250,90,4,3.Stock,01.05.2020,,,,200m,50m,4,"Obermattstr. 18, 3018 Bern",05.02.2020,bern,26.02.2020,,1970,,1,1,1,500m,269m,3000m,3000m,,,,,,,,,,,,,,
22893424,Einzelzimmer,574,,,12,,,sofort,,,,,,NaN,"Rehhastrasse 45, 3018 Bern",06.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22889307,Wohnung,1800,1415,385,,2.5,3.Stock,,,,,,,NaN,3011 Bern,05.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22902010,Wohnung,1822,1482,340,98,4.5,2.Stock,16.05.2020,1,1,,,,NaN,"Holenackerstrasse 5, 3027 Bern",06.02.2020,bern,26.02.2020,,,,,,1,,,,,,,,,,,,1,,,,,,
22888686,Wohnung,1450,,,,2.5,,nachVereinbarung,,,,,,NaN,3007 Bern BE,05.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22902801,Wohnung,1750,1575,175,50,2.5,7.Stock,sofort,,,,,,3,"Europaplatz 1, 3008 Bern",05.02.2020,bern,26.02.2020,,2014,,,,,,,,,,,,,,,,,,,,,,
23020982,Einzelzimmer,910,,,20,,,sofort,,,,,,NaN,"Holzikofenweg 1, 3007, 3007 Bern",05.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22893423,Wohnung,2700,,,,3,,sofort,,,,,,NaN,"Turnweg 27B, 3013 Bern",06.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22888808,Dachwohnung,1450,,,60,1,,nachVereinbarung,,,,,,NaN,"Elisabethenstrasse 26, 3014 Bern",05.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22886505,Wohnung,990,840,150,45,1,Untergeschoss,01.05.2020,,1,,100m,2000m,NaN,"Hintere Engehaldenstrasse 38, 3004 Bern",05.02.2020,bern,26.02.2020,,1999,,1,,1,800m,800m,1500m,,1,,,,,,,,,,,,,
22886506,Wohnung,1614,1414,200,63,2.5,1.Stock,01.05.2020,1,,,300m,300m,4,"Buristrasse 17, 3006 Bern",05.02.2020,bern,26.02.2020,,1991,,,,,300m,300m,500m,,,,,,,,,,,,,,,
22884352,Wohnung,1500,1255,245,73,3,5.Stock,01.05.2020,,1,,750m,600m,4,"Holligenstrasse 109, 3008 Bern",04.02.2020,bern,26.02.2020,,1961,,1,,,900m,,,1200m,,,,,,,,,,,,,,
22882531,Wohnung,1140,1030,110,38,1.5,EG,01.05.2020,1,,1,100m,100m,NaN,"Militärstrasse 53, 3014 Bern",,bern,26.02.2020,,,,1,1,,250m,250m,250m,,,,,,,,,,,,,,,
22887292,Wohnung,1730,,,60,2.5,,sofort,,,,,,NaN,"Neuengasse, 3011 Bern",05.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22899979,Wohnung,2170,1850,320,99,4.5,1.Stock,01.05.2020,1,1,,200m,,3,"Fabrikstrasse 29 D, 3012 Bern",05.02.2020,bern,26.02.2020,,1960,,,,,,,,,,,,,,,,,,,,,,
22882344,Wohnung,1600,1330,270,,3.5,EG,nachVereinbarung,1,,,,,NaN,"Stapfenstrasse 48, 3018 Bern",04.02.2020,bern,26.02.2020,,1950,,1,,1,,,,,,,,,,,,,,,,,,
22882504,Wohnung,1465,1200,265,,2.5,2.Stock,sofort,,,,,,NaN,"Bottigenstrasse 68, 3018 Bern",,bern,26.02.2020,,,1,,,,,,,,,,,,,,,,,,,,,
22882630,Wohnung,1890,1610,280,97,4.5,3.Stock,01.04.2020,,,,290m,140m,NaN,"Statthalterstrasse 54, 3018 Bern",,bern,26.02.2020,,,,,,,200m,460m,,,,,,,,,,,,,,,,
23014341,Wohnung,2860,2720,140,127,3,,sofort,1,,,100m,300m,NaN,"Münstergasse, 3011 Bern",04.02.2020,bern,26.02.2020,127,,,,1,,,,,,,,,1,,,,,,,,,,
22874742,Wohnung,1390,1245,145,59,2,EG,01.04.2020,,,,,,4,"Buristr. 10, 3006 Bern",03.02.2020,bern,26.02.2020,,1967,,1,1,,,,,,,,,,,,,,,,,,,
22881488,Wohnung,1750,,,,3,,nachVereinbarung,,,,,,NaN,3011 Bern BE,04.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22879005,Wohnung,1480,,,70,3.5,,sofort,,,,,,NaN,"Hallerstrasse 20, 3012 Bern",04.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
13963125,Dachwohnung,1280,1085,195,,3,2.Stock,01.04.2020,,,1,200m,200m,NaN,"Frankenstrasse 22, 3018 Bern",,bern,26.02.2020,,,,,,1,,,,1000m,,,,,,,,,,,,,,
22880969,Attika,3080,2780,300,115,4.5,4.Stock,01.05.2020,1,1,,210m,120m,3,"Stöckackerstrasse 103, 3018 Bern",,bern,26.02.2020,,2017,,,1,1,540m,970m,,600m,1,,,,,,,,,,,,,
22880464,Wohnung,1395,1275,120,52,1.5,1.Stock,01.05.2020,1,1,,10m,180m,NaN,"Bümplizstrasse 142, 3018 Bern",,bern,26.02.2020,,,,1,1,,,,,,1,1,,,,,,,,,,,,
22998672,Wohnung,1200,,,,2.5,,01.07.2020,,,,,,NaN,3007 Bern,04.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22879392,Wohnung,1150,,,90,1,3.Stock,sofort,1,,,,,NaN,"Gryphenhübeliweg 45, 3006 Bern BE",04.02.2020,bern,26.02.2020,,2016,,,,,,,,,,,,,,,,,,,,,,
22873707,Wohnung,3450,2950,500,139,5.5,1.Stock,01.03.2020,1,1,,500m,450m,NaN,"Hesseweg 20, 3006 Bern",,bern,26.02.2020,,,,1,,1,1100m,1100m,,1500m,1,1,,,,,,,,,,,,
22893420,Wohnung,1750,,,65,,,sofort,,,,,,NaN,"Kapellenstrasse 27, 3011 Bern",04.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
