,object_type,price,price_wo_extras,extras,size,rooms,floor,moovIn,balcony,lift,public_transport,shopping,rating,adress,publication_date,city,DateofScrapping,age,parking_out,pets_allowed,tv,kids_ok,KG,PS,SS,highway,parking_in
22998916,Wohnung,1250.0,,,80.0,2.5,,15.04.2020,,,,,,"Roschistrasse, 1a, 3007 Bern",2020-02-21,bern,2020-02-26,,,,,,,,,,
22999554,Wohnung,870.0,770.0,100.0,25.0,1.0,,nachVereinbarung,1.0,1.0,100.0,100.0,3.0,"Randweg 11, 3013 Bern",,bern,2020-02-26,1971,,,1.0,,250.0,,,,1.0
22999694,Wohnung,730.0,600.0,130.0,,1.0,5.0,sofort,,1.0,100.0,500.0,,"Belpstrasse 41, 3007 Bern",,bern,2020-02-26,,,,1.0,,,,,,
22999794,Wohnung,1450.0,1210.0,240.0,67.0,3.0,0.0,01.06.2020,1.0,,,,4.0,"Alemannenstrasse 46, 3018 Bern",2020-02-21,bern,2020-02-26,1951,,,1.0,1.0,,,,,
22996209,Wohnung,1760.0,1570.0,190.0,,3.0,,01.07.2020,1.0,,50.0,500.0,,"Schlossstrasse 91, 3008 Bern",,bern,2020-02-26,,,1.0,1.0,1.0,50.0,500.0,,1000.0,
22995891,Wohnung,1060.0,950.0,110.0,,1.0,3.0,01.06.2020,,1.0,300.0,500.0,,"Brunngasse 12, 3011 Bern",,bern,2020-02-26,,,,,,,,,,
18016327,Attika,1690.0,1550.0,140.0,,2.5,3.0,01.04.2020,1.0,,100.0,100.0,,"Unterer Aareggweg 5, 3004 Bern",,bern,2020-02-26,,1.0,,,,,,,,
22996108,Dachwohnung,1200.0,930.0,270.0,60.0,2.0,4.0,01.05.2020,,,100.0,100.0,,"Rodtmattstrasse 61, 3014 Bern",,bern,2020-02-26,,,,1.0,,,,,,
22996914,Wohnung,1000.0,,,30.0,1.0,,sofort,,,,,,"Amthausgasse 1, 3011 Bern",2020-02-21,bern,2020-02-26,,,,,,,,,,
22996295,Wohnung,1750.0,1560.0,190.0,,3.0,2.0,15.05.2020,,,,,,"Lilienweg 17, 3007 Bern",,bern,2020-02-26,,,,,,,,,,
23005365,Wohnung,1945.0,,,70.0,2.5,0.0,01.04.2020,1.0,1.0,150.0,250.0,4.0,"Holligenstrasse 17, 3008 Bern",2020-02-21,bern,2020-02-26,2017,,1.0,1.0,,,,,,1.0
22996913,Wohnung,850.0,,,30.0,1.0,,sofort,,,,,,3006 Bern,2020-02-21,bern,2020-02-26,,,,,,,,,,
22995468,Wohnung,1660.0,,,,2.5,,nachVereinbarung,,,,,,3007 Bern BE,2020-02-21,bern,2020-02-26,,,,,,,,,,
22996912,Wohnung,1800.0,,,100.0,3.5,,sofort,,,,,,"Kirchenfeldquartier, 3005 Bern",2020-02-21,bern,2020-02-26,,,,,,,,,,
22992739,Dachwohnung,1705.0,1525.0,180.0,,2.0,2.0,01.05.2020,,,,,,"Brunngasse, 25, 3011 Bern",2020-02-20,bern,2020-02-26,,,,,,,,,,
22992547,Wohnung,1520.0,,,,2.0,,nachVereinbarung,,,,,,3011 Bern BE,2020-02-20,bern,2020-02-26,,,,,,,,,,
22992825,Wohnung,1450.0,,,,3.0,,nachVereinbarung,,,,,,3018 Bern BE,2020-02-20,bern,2020-02-26,,,,,,,,,,
22993702,Studio,1060.0,950.0,110.0,,1.5,3.0,01.03.2020,,1.0,,,,"Brunngasse 12, 3011 Bern",,bern,2020-02-26,,,,,,,,,,
22995364,Wohnung,1420.0,,,,2.5,,nachVereinbarung,,,,,,3007 Bern BE,2020-02-21,bern,2020-02-26,,,,,,,,,,
22999034,Wohnung,2200.0,1900.0,300.0,115.0,4.5,7.0,01.04.2020,1.0,1.0,,,4.0,"Wankdorffeldstrasse 75, 3014 Bern",2020-02-20,bern,2020-02-26,1965,,1.0,1.0,,,,,,
22992694,Wohnung,2630.0,2300.0,330.0,123.0,4.5,0.0,sofort,,,,,,"Murtenstrasse 143 G, 3008 Bern",2020-02-20,bern,2020-02-26,,,,,,,,,,
22992548,Wohnung,1700.0,,,,2.0,,nachVereinbarung,,,,,,3011 Bern BE,2020-02-20,bern,2020-02-26,,,,,,,,,,
22992763,Wohnung,1550.0,1395.0,155.0,,3.5,5.0,01.05.2020,1.0,1.0,120.0,400.0,,"Murtenstrasse 7, 3008 Bern",,bern,2020-02-26,,1.0,,1.0,,360.0,320.0,,,
22992939,Wohnung,2500.0,,,,3.0,,nachVereinbarung,,,,,,3000 Bern BE,2020-02-20,bern,2020-02-26,,,,,,,,,,
22991121,Wohnung,1390.0,1220.0,170.0,55.0,2.5,1.0,01.05.2020,,,480.0,790.0,,"Murifeldweg 59, 3006 Bern",,bern,2020-02-26,,,,,,300.0,1130.0,,,
22992542,Dachwohnung,330.0,,,,1.0,,nachVereinbarung,,,,,,3013 Bern BE,2020-02-20,bern,2020-02-26,,,,,,,,,,
22990768,Wohnung,1250.0,,,50.0,2.5,,01.06.2020,,,,,,3006 Bern,2020-02-20,bern,2020-02-26,,,,,,,,,,
22992695,Wohnung,1220.0,1050.0,170.0,40.0,2.0,5.0,01.05.2020,,,,,,"Murtenstrasse 143 B, 3008 Bern",2020-02-20,bern,2020-02-26,,,,,,,,,,
22991787,Wohnung,1450.0,1250.0,200.0,,2.0,2.0,01.05.2020,1.0,,1430.0,410.0,,"Roschistrasse 8, 3007 Bern",,bern,2020-02-26,,,1.0,,,2440.0,,,,
22992543,Wohnung,1300.0,,,,2.5,,nachVereinbarung,,,,,,3006 Bern BE,2020-02-20,bern,2020-02-26,,,,,,,,,,
22992351,Wohnung,1320.0,,,,2.0,,nachVereinbarung,,,,,,3013 Bern BE,2020-02-20,bern,2020-02-26,,,,,,,,,,
22992693,Wohnung,1310.0,1140.0,170.0,48.0,2.0,1.0,01.05.2020,,,,,,"Murtenstrasse 143 B, 3008 Bern",2020-02-20,bern,2020-02-26,,,,,,,,,,
22990698,Wohnung,1620.0,1450.0,170.0,75.0,3.0,,01.05.2020,1.0,,270.0,230.0,4.0,"Tellplatz 1, 3014 Bern",,bern,2020-02-26,1942,,,1.0,,530.0,430.0,,,
22989570,Wohnung,1530.0,,,62.0,2.0,,sofort,,,,,,"Grünerweg 5, 3013 Bern",2020-02-20,bern,2020-02-26,,,,,,,,,,
